id,edit_history_tweet_ids,author_id,text,sentiment,confidence,user_feedback
6600006658832103334,['6600006658832103334'],6934595818073254388,@AmazonHelp Need clarification on a delivery notification.,neutral,0.5552433133125305,1
9183559322186857246,['9183559322186857246'],2198311150974052037,@AmazonHelp Checking in about my recent order status.,neutral,0.9054079055786133,1
3057741986615700806,['3057741986615700806'],3587520224734881521,@AmazonHelp Everything arrived perfectly. Thanks!,positive,0.9873665571212769,2
6067253818885730894,['6067253818885730894'],8376254679907529815,@AmazonHelp Need clarification on a delivery notification.,neutral,0.5552433133125305,1
5900295056579757257,['5900295056579757257'],9490759255339981352,@AmazonHelp Tracking hasn't updated in days. Can you look into this?,negative,0.9657717943191528,0
7905557559010755279,['7905557559010755279'],9517618278917322650,@AmazonHelp Thanks for handling the issue so quickly.,positive,0.9404308199882507,2
7174390788429094980,['7174390788429094980'],5450860178857438589,"@AmazonHelp Appreciate the followâ€‘up, everything works now!",positive,0.9729663133621216,2
7668928482906940772,['7668928482906940772'],4042473962389176803,@AmazonHelp I still haven't received my refund. Please help.,negative,0.9534018039703369,0
4167310577046042737,['4167310577046042737'],2781860806276814203,"@AmazonHelp Thank you for the fast replacement, much appreciated!",positive,0.9930625557899475,2
2267768155663484408,['2267768155663484408'],8435842935385111443,@AmazonHelp Tracking hasn't updated in days. Can you look into this?,negative,0.9657717943191528,0
6394678198842928254,['6394678198842928254'],3069696616502640926,@AmazonHelp Everything arrived perfectly. Thanks!,positive,0.9873665571212769,2
6563398321632022681,['6563398321632022681'],4644372666954539477,@AmazonHelp Everything arrived perfectly. Thanks!,positive,0.9873665571212769,2
5391485512890870932,['5391485512890870932'],8076079849016690818,@AmazonHelp Looking to confirm my package location.,neutral,0.8163281083106995,1
9015230867619658925,['9015230867619658925'],6124187637989864192,"@AmazonHelp Appreciate the followâ€‘up, everything works now!",positive,0.9729663133621216,2
2174547409764451156,['2174547409764451156'],1987040432195868951,@AmazonHelp Why is shipping unavailable to Northern Ireland?,negative,0.8884183764457703,0
7146481166026729802,['7146481166026729802'],7006817384258874938,@AmazonHelp Delivery was faster than expected â€” thank you!,positive,0.9930979609489441,2
3527980374729907935,['3527980374729907935'],7727942805989640053,"@AmazonHelp Appreciate the followâ€‘up, everything works now!",positive,0.9729663133621216,2
4096152616394549903,['4096152616394549903'],5103146275854619863,@AmazonHelp Why is shipping unavailable to Northern Ireland?,negative,0.8884183764457703,0
6618063636764832968,['6618063636764832968'],4114589033216769219,@AmazonHelp Tracking hasn't updated in days. Can you look into this?,negative,0.9657717943191528,0
3825590152123730727,['3825590152123730727'],9382908923666183926,@AmazonHelp The item arrived damaged. What should I do?,negative,0.9592067003250122,0
5322716358837754135,['5322716358837754135'],4587196448316811950,@AmazonHelp The item arrived damaged. What should I do?,negative,0.9592067003250122,0
8505752070928250273,['8505752070928250273'],9679833865097071857,@AmazonHelp Really appreciate the assistance today!,positive,0.9942455887794495,2
7479490904679544504,['7479490904679544504'],2388538471821426525,@AmazonHelp I still haven't received my refund. Please help.,negative,0.9534018039703369,0
6758869741342829375,['6758869741342829375'],2606827131087109618,@AmazonHelp Why is shipping unavailable to Northern Ireland?,negative,0.8884183764457703,0
6995268865943786458,['6995268865943786458'],8819298129869015210,@AmazonHelp Thanks for the quick support earlier today!,positive,0.9865822792053223,2
5047353365614645403,['5047353365614645403'],3869502126495008041,@AmazonHelp Checking in about my recent order status.,neutral,0.9054079055786133,1
